VehicleRegistrationNumber,CompanyName,FleetName,LocationName,InspectionBeginTime,InspectionFullNumber,Inspection_Mileage,VehicleClassName,AxleConfigurationName,VehicleMakeName,VehicleModelName,VehicleStatusId,TyreSerialNumber,Wheel_Position,TyreMakeName,TyrePatternName,TyreSizeName,TyreLifeName,TD1,TD2,TD3,Profundidad inicial,Precio,Min,Prom,%,Dinero perdido 1,Punto de retiro,Pérdida total
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 14:54:44.8860000 +00:00,IP2449451S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933010101,1LI,Ninguno,Ninguno,11R22.5,New,6.2,5,6.5,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 14:54:44.8860000 +00:00,IP2449451S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933010401,1RI,Ninguno,Ninguno,11R22.5,New,7.7,6.3,6.9,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 14:54:44.8860000 +00:00,IP2449451S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933020201,2LI,Ninguno,Ninguno,11R22.5,New,4,3.7,2.9,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 14:54:44.8860000 +00:00,IP2449451S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933020101,2LO,Ninguno,Ninguno,11R22.5,New,3.9,3.5,3.9,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 14:54:44.8860000 +00:00,IP2449451S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933020301,2RI,Ninguno,Ninguno,11R22.5,New,1.8,0.9,1.9,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 14:54:44.8860000 +00:00,IP2449451S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933020401,2RO,Ninguno,Ninguno,11R22.5,New,1.8,1.3,2.6,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 14:54:44.8860000 +00:00,IP2449451S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,43022,3LI,ARMKING,RK29,11R22.5,New,11.4,12.4,13.7,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 14:54:44.8860000 +00:00,IP2449451S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,43023,3LO,ARMKING,RK29,11R22.5,New,12.7,13.4,11.9,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 14:54:44.8860000 +00:00,IP2449451S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,43019,3RI,ARMKING,RK29,11R22.5,New,11,12.8,12.7,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 14:54:44.8860000 +00:00,IP2449451S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,43021,3RO,ARMKING,RK29,11R22.5,New,13.2,13.1,12.2,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 15:33:45.8140000 +00:00,IP2449485S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933010101,1LI,Ninguno,Ninguno,11R22.5,New,6.6,4.9,6.4,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 15:33:45.8140000 +00:00,IP2449485S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933010401,1RI,Ninguno,Ninguno,11R22.5,New,7.6,6.1,6.7,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 15:33:45.8140000 +00:00,IP2449485S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933020201,2LI,Ninguno,Ninguno,11R22.5,New,4,3.6,2.8,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 15:33:45.8140000 +00:00,IP2449485S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933020101,2LO,Ninguno,Ninguno,11R22.5,New,3.6,3.4,3.7,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 15:33:45.8140000 +00:00,IP2449485S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933020301,2RI,Ninguno,Ninguno,11R22.5,New,1.8,0.8,2.3,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 15:33:45.8140000 +00:00,IP2449485S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,AVO933020401,2RO,Ninguno,Ninguno,11R22.5,New,1.7,1.7,2,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 15:33:45.8140000 +00:00,IP2449485S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,43022,3LI,ARMKING,RK29,11R22.5,New,11.4,13.1,13.6,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 15:33:45.8140000 +00:00,IP2449485S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,43023,3LO,ARMKING,RK29,11R22.5,New,11.4,12.9,12.5,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 15:33:45.8140000 +00:00,IP2449485S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,43019,3RI,ARMKING,RK29,11R22.5,New,11.8,12.7,11.1,,,,,,,,
AVO933,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 15:33:45.8140000 +00:00,IP2449485S,113022,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,43021,3RO,ARMKING,RK29,11R22.5,New,12.3,13,12.6,,,,,,,,
F3A937,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 16:13:12.3750000 +00:00,IP2449493S,243745,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,F3A937010101,1LI,Ninguno,Ninguno,11R22.5,New,6.4,5.5,5,,,,,,,,
F3A937,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 16:13:12.3750000 +00:00,IP2449493S,243745,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,F3A937010401,1RI,Ninguno,Ninguno,11R22.5,New,4.9,6.6,7.3,,,,,,,,
F3A937,CORCELIP,CORCELIP,EL AGUSTINO,2021-06-18 16:13:12.3750000 +00:00,IP2449493S,243745,Truck - Dump,S2.C4.D4,Generic,Generic,3A124BBA-6ECB-46A8-8932-06D24E55E3B9,F3A937020201,2LI,Ninguno,Ninguno,11R22.5,New,0.1,0.1,0.1,,,,,,,,
