CompanyId,CompanyName,FleetId,LocationId,LocationName,VehicleId,VehicleRegistrationNumber,Wheel_Position,TyreId,TyreSerialNumber,ProductName,LastKnownPressure,LastKnownTreadDepth,TyreMountMileage,TyreMileage,TyreLifeName,TyreCode,VehicleAxlePosition,TyreMountDate
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,069ec405-68eb-4fae-a9c6-b02e41ff3e09,BFO814,2RO,59bf72c1-11bd-455f-922e-005e200557bd,33006,ROADLUX R305 11R22.5,6.75685,2.4,2900,7979,New,,2,4/4/2021 4:59:42 PM +00:00
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,856e9285-2826-41a3-b0ad-7bc605aee33f,ARK927,1LI,9b03768f-5f49-4393-80f8-01acc56fde78,ARK927010101,Sinproducto2,7.51527,3.1,,0,New,,1,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,2d85ddda-dcd6-4754-885b-e0dd042f2a30,CHANGEAXLE01_ADH825,2LI,b879046a-2ca6-45d9-b304-01dbc82d32f3,ADH825020201,Sinproducto2,,0,,0,New,,2,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,d6bbc721-586f-413b-89a4-09a094958d1e,AVP751,1LI,852fa7da-09cc-4669-81f6-0311dad87e73,33010,Super Cargo SC519 11R22.5,6.41211,10,70972,24942,New,,1,4/14/2021 4:59:58 PM +00:00
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,848fa57a-294b-47c5-9654-4d57dca534af,F3C948,2LI,e3568d74-e7ff-4717-a13c-03964c123583,F3C948020201,Sinproducto2,,0,,0,New,,2,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,069ec405-68eb-4fae-a9c6-b02e41ff3e09,BFO814,3LI,66013d52-4ded-4b71-83df-078b702fe6d6,123126,Super Cargo SC305 11R22.5,,12.6,19794,7979,New,,3,12/20/2021 4:59:41 PM +00:00
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,c99e2481-69cc-4894-8c9d-151cd787ac52,BFP857,3LI,7eec25bb-a57c-471b-94a9-082eb3e14cfb,93091,Super Cargo SC305 11R22.5,,13,4732,8379,New,,3,11/18/2021 2:23:20 AM +00:00
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,52bbc5e4-4d09-4f7f-b2e9-e5b4ca8fdd38,ARI819,3RI,28979b8d-0b64-4040-a20c-091133adc1b2,103109,Super Cargo SC305 11R22.5,,20.3,176757,2869,New,,3,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,ed5db4fb-2cbe-4430-911e-ca454a77f3e4,ARI758,2RI,082d0e70-dfd9-436e-9d42-0d467ac96da9,53027,ARMKING RK29 11R22.5,,4.3,171182,6937,New,,2,5/23/2021 4:59:49 PM +00:00
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,d6bbc721-586f-413b-89a4-09a094958d1e,AVP751,2LO,f7f899ca-7738-42c3-ac94-0f49b6c3a411,73058,Super Cargo SC305 11R22.5,6.89474,8,84418,3964,New,,2,7/27/2021 5:24:55 PM +00:00
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,9d2b934f-adc9-4d9a-ad0a-49f427d2bcc4,BCD795,1LI,4e029073-eb7c-45e6-987b-0f4f86806fb7,BCD795010101,Sinproducto,6.41211,3.8,,0,New,,1,
